Country,Country Code,Continent,Region,Year,Emissions Per Capita,Emissions
Afghanistan,004,Asia,Southern Asia,2011,0.420932655980935,12251.447
Afghanistan,004,Asia,Southern Asia,2010,0.298289530193382,8470.77
Afghanistan,004,Asia,Southern Asia,2009,0.244570891628528,6776.616
Afghanistan,004,Asia,Southern Asia,2008,0.156001008723042,4217.05
Afghanistan,004,Asia,Southern Asia,2007,0.0865631699552052,2280.874
Afghanistan,004,Asia,Southern Asia,2006,0.0646664493800973,1657.484
Afghanistan,004,Asia,Southern Asia,2005,0.0538378507094788,1338.455
Afghanistan,004,Asia,Southern Asia,2004,0.0398476069586166,957.087
Afghanistan,004,Asia,Southern Asia,2003,0.0448933476875164,1037.761
Afghanistan,004,Asia,Southern Asia,2002,0.0402988703319752,894.748
Afghanistan,004,Asia,Southern Asia,2001,0.0302322742475073,645.392
Afghanistan,004,Asia,Southern Asia,2000,0.0379246102034633,781.071
Afghanistan,004,Asia,Southern Asia,1999,0.0416473729442398,832.409
Afghanistan,004,Asia,Southern Asia,1998,0.0541675582643255,1056.096
Afghanistan,004,Asia,Southern Asia,1997,0.0586065272553935,1114.768
Afghanistan,004,Asia,Southern Asia,1996,0.0651147982490871,1199.109
Afghanistan,004,Asia,Southern Asia,1995,0.0721469767582564,1268.782
Afghanistan,004,Asia,Southern Asia,1994,0.0800799853539741,1320.12
Afghanistan,004,Asia,Southern Asia,1993,0.0906158517198149,1375.125
Afghanistan,004,Asia,Southern Asia,1992,0.103278005102276,1426.463
Afghanistan,004,Asia,Southern Asia,1991,0.197712614839642,2493.56
Afghanistan,004,Asia,Southern Asia,1990,0.228187363382394,2676.91
Albania,008,Europe,Southern Europe,2011,1.48010912262757,4668.091
Albania,008,Europe,Southern Europe,2010,1.40154526318329,4415.068
Albania,008,Europe,Southern Europe,2009,1.42435559956017,4488.408
Albania,008,Europe,Southern Europe,2008,1.47534632111431,4657.09
Albania,008,Europe,Southern Europe,2007,1.41411657173755,4477.407
Albania,008,Europe,Southern Europe,2006,1.21557768920544,3865.018
Albania,008,Europe,Southern Europe,2005,1.33089705362423,4253.72
Albania,008,Europe,Southern Europe,2004,1.29522911687313,4165.712
Albania,008,Europe,Southern Europe,2003,1.32557784888181,4294.057
Albania,008,Europe,Southern Europe,2002,1.14945017704397,3751.341
Albania,008,Europe,Southern Europe,2001,0.980891845734924,3223.293
Albania,008,Europe,Southern Europe,2000,0.914267940070464,3021.608
Albania,008,Europe,Southern Europe,1999,0.899635647529597,2984.938
Albania,008,Europe,Southern Europe,1998,0.527093427187128,1752.826
Albania,008,Europe,Southern Europe,1997,0.463422424224413,1543.807
Albania,008,Europe,Southern Europe,1996,0.603658797567107,2016.85
Albania,008,Europe,Southern Europe,1995,0.621385121109945,2086.523
Albania,008,Europe,Southern Europe,1994,0.56992696123086,1928.842
Albania,008,Europe,Southern Europe,1993,0.685695348347223,2343.213
Albania,008,Europe,Southern Europe,1992,0.692577704100372,2387.217
Albania,008,Europe,Southern Europe,1991,1.14787082236558,3971.361
Albania,008,Europe,Southern Europe,1990,2.1724021884126,7488.014
Algeria,012,Africa,Northern Africa,2011,3.22420156024837,121755.401
Algeria,012,Africa,Northern Africa,2010,3.21822540756478,119276.509
Algeria,012,Africa,Northern Africa,2009,3.33598179186705,121374.033
Algeria,012,Africa,Northern Africa,2008,3.12315273817824,111575.809
Algeria,012,Africa,Northern Africa,2007,3.11407815752455,109294.935
